,aircraft.damage,make,model,number.of.engines,total.fatal.injuries,total.serious.injuries,total.minor.injuries,total.uninjured,total.passengers
26823,Substantial,beech,Be23,1,0,0,0,2,2
26824,Destroyed,beech,Be35,1,0,4,0,0,4
26825,Substantial,beech,Be35,1,0,0,0,1,1
26826,Substantial,beech,Be95,2,0,0,0,1,1
26827,Destroyed,beech,Be95,2,3,1,0,0,4
26828,Minor,beech,Be95,2,0,0,0,3,3
26829,Substantial,beech,Be23,1,0,0,0,1,1
26830,Substantial,beech,Be95,2,0,0,0,1,1
26831,Substantial,beech,Be35,1,0,0,0,2,2
26832,Substantial,beech,Be36,2,0,0,0,2,2
26833,Substantial,beech,Be95,2,0,0,0,2,2
26834,Substantial,beech,Be95,2,0,0,0,5,5
26835,Destroyed,beech,Be35,1,3,0,0,0,3
26836,Destroyed,beech,Be35,1,4,0,0,0,4
26837,Substantial,beech,Be58,2,0,0,0,5,5
26838,Destroyed,beech,Be36,1,2,0,0,0,2
26839,Minor,beech,Be95,1,0,0,0,2,2
26840,Substantial,beech,Be35,1,0,0,0,3,3
26841,Substantial,beech,Be35,1,0,0,0,4,4
26842,Substantial,beech,Be23,1,0,0,1,0,1
26843,Substantial,beech,Be23,1,0,0,0,4,4
26844,Substantial,beech,Be36,1,0,0,1,2,3
26845,Substantial,beech,Be95,2,0,0,0,2,2
26846,Substantial,beech,Be35,1,0,0,0,3,3
26847,Destroyed,beech,Be23,1,0,0,0,2,2
26848,Substantial,beech,Be35,1,0,0,0,6,6
26849,Substantial,beech,Be36,1,0,0,0,1,1
26850,Substantial,beech,Be36,1,0,0,0,1,1
26851,Substantial,beech,Be36,1,0,0,0,1,1
26852,Substantial,beech,Be58,2,0,0,0,3,3
26853,Destroyed,beech,Be23,1,0,1,0,0,1
26854,Destroyed,beech,Be35,1,2,0,0,0,2
26855,Substantial,beech,Be35,1,0,0,0,4,4
26856,Destroyed,beech,Be36,1,2,0,0,0,2
26857,Destroyed,beech,Be35,1,0,0,0,1,1
26858,Destroyed,beech,Be35,1,4,0,0,0,4
26859,Substantial,beech,Be35,1,0,0,0,2,2
26860,Destroyed,beech,Be35,1,0,2,0,0,2
26861,Substantial,beech,Be36,1,0,0,0,1,1
26862,Destroyed,beech,Be35,1,0,1,2,0,3
26863,Destroyed,beech,Be35,1,1,0,0,0,1
26864,Substantial,beech,Be35,1,0,0,0,1,1
26865,Destroyed,beech,Be58,2,2,0,0,0,2
26866,Substantial,beech,Be35,1,0,1,2,0,3
26867,Substantial,beech,Be36,1,0,0,2,0,2
26868,Destroyed,beech,Be58,1,1,0,0,0,1
26869,Substantial,beech,Be58,2,0,0,0,1,1
26870,Destroyed,beech,Be35,1,1,0,0,0,1
26871,Destroyed,beech,Be35,1,1,0,0,0,1
26872,Destroyed,beech,Be58,2,6,0,0,0,6
26873,Substantial,beech,Be23,1,0,0,0,2,2
26874,Destroyed,beech,Be95,2,1,0,0,0,1
26875,Destroyed,beech,Be35,1,1,0,0,0,1
26876,Destroyed,beech,Be23,1,2,0,0,0,2
26877,Substantial,beech,Be35,1,0,0,0,2,2
26878,Substantial,beech,Be23,1,0,0,0,4,4
26879,Substantial,beech,Be35,1,0,0,0,2,2
26880,Destroyed,beech,Be35,1,2,0,0,0,2
26881,Substantial,beech,Be23,1,0,0,0,1,1
26882,Substantial,beech,Be36,1,0,0,0,2,2
26883,Destroyed,beech,Be95,2,1,0,0,0,1
26884,Substantial,beech,Be95,2,0,0,0,1,1
26885,Substantial,beech,Be35,1,0,0,0,1,1
26886,Destroyed,beech,Be23,1,0,0,0,2,2
26887,Substantial,beech,Be35,1,0,0,0,1,1
26888,Substantial,beech,Be23,1,2,1,0,0,3
26889,Substantial,beech,Be95,2,0,0,0,2,2
